brand,keywords,alias,category1,category2,category3,score
AMILD,amildlep,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amildmentholburst,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amildplatinum,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,sampoernamild,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,borneoindiechannel,borneoindiechannel,Account,Undefined,Undefined,1
AMILD,hanalana,hanalana,Account,Undefined,Undefined,1
marlboro,dewataproject,dewataproject,Activity/engagement,Lokal,KOL Nasional,3
amild,1000kota1bahasa,1000kota1bahasa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,1000sumbart,1000sumbart,Activity/engagement,Lokal,KOL Area,3
AMILD,100kota1bahasa,100kota1bahasa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,100kota1bahasabogor,100kota1bahasabogor,Activity/engagement,Lokal,KOL Area,3
AMILD,1015musicians,1015musicians,Activity/engagement,Lokal,KOL Nasional,3
AMILD,1bahasabogor,1bahasabogor,Activity/engagement,Lokal,KOL Area,3
AMILD,5hari5malam,5hari5malam,Activity/engagement,Lokal,KOL Area,3
AMILD,acreate,acreate,Activity/engagement,Lokal,KOL Nasional,3
AMILD,afrontmedan,afrontmedan,Activity/engagement,Lokal,KOL Area,3
AMILD,ahadberkelir,ahadberkelir,Activity/engagement,Lokal,KOL Nasional,3
AMILD,ajengxiga,ajengxiga,Activity/engagement,Lokal,KOL Area,3
AMILD,allyoucanart,allyoucanart,Activity/engagement,Lokal,KOL Area,3
AMILD,aphoria,aphoria,Activity/engagement,Lokal,KOL Nasional,3
AMILD,aphoriamedan,aphoriamedan,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artcosystem,artcosystem,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artgasm,artgasm,Activity/engagement,Lokal,KOL Area,3
AMILD,artgasmproject,artgasmproject,Activity/engagement,Lokal,KOL Area,3
AMILD,artmoshpit,artmoshpit,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artospora,artospora,Activity/engagement,Lokal,KOL Area,3
AMILD,artwarding,artwarding,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artwardingnight,artwardingnight,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artwardingnight2017,artwardingnight2017,Activity/engagement,Lokal,KOL Nasional,3
AMILD,asquad,asquad,Activity/engagement,Lokal,KOL Area,3
AMILD,assicks,assicks,Activity/engagement,Lokal,KOL Area,3
AMILD,atagbdg,atagbdg,Activity/engagement,Lokal,KOL Nasional,3
AMILD,atagmusic,atagmusic,Activity/engagement,Lokal,KOL Area,3
AMILD,atagphotography,atagphotography,Activity/engagement,Lokal,KOL Area,3
AMILD,atagvisual,atagvisual,Activity/engagement,Lokal,KOL Area,3
AMILD,atlasroom,atlasroom,Activity/engagement,Lokal,KOL Area,3
AMILD,averland,averland,Activity/engagement,Lokal,KOL Area,3
AMILD,azone,azone,Activity/engagement,Lokal,KOL Nasional,3
AMILD,azonekalianda,azonekalianda,Activity/engagement,Lokal,KOL Nasional,3
AMILD,azonewarnong,azonewarnong,Activity/engagement,Lokal,KOL Area,3
AMILD,bahasbatas,bahasbatas,Activity/engagement,Lokal,KOL Nasional,3
AMILD,bajaklensa,bajaklensa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,baykxserufo,baykxserufo,Activity/engagement,Lokal,KOL Nasional,3
AMILD,bejanakarya,bejanakarya,Activity/engagement,Lokal,KOL Area,3
AMILD,bergerakbersama,bergerakbersama,Activity/engagement,Lokal,KOL Area,3
AMILD,berisikapik,berisikapik,Activity/engagement,Lokal,KOL Nasional,3
AMILD,berkaryatanpasekat,berkaryatanpasekat,Activity/engagement,Lokal,KOL Area,3
AMILD,bersamaberkaryabebas,bersamaberkaryabebas,Activity/engagement,Lokal,KOL Area,3
AMILD,bilikbersenyawa,bilikbersenyawa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,bukansumpahbiasa,bukansumpahbiasa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,campeople,campeople,Activity/engagement,Lokal,KOL Nasional,3
AMILD,camppeople,camppeople,Activity/engagement,Lokal,KOL Nasional,3
AMILD,cocreation,cocreation,Activity/engagement,Lokal,KOL Nasional,3
AMILD,collaboraction,collaboraction,Activity/engagement,Lokal,KOL Nasional,3
AMILD,collartboration,collartboration,Activity/engagement,Lokal,KOL Area,3
AMILD,datangdudukkumpul,datangdudukkumpul,Activity/engagement,Lokal,KOL Area,3
AMILD,energyflush,energyflush,Activity/engagement,Lokal,KOL Area,3
AMILD,euforiau,euforiau,Activity/engagement,Lokal,KOL Nasional,3
AMILD,flagshow,flagshow,Activity/engagement,Lokal,KOL Area,3
AMILD,flagsshow,flagsshow,Activity/engagement,Lokal,KOL Area,3
AMILD,folkmusicfestival,folkmusicfestival,Activity/engagement,Lokal,KOL Nasional,3
AMILD,gresikweloud,gresikweloud,Activity/engagement,Lokal,KOL Area,3
AMILD,hanalanaqube,hanalanaqube,Activity/engagement,Lokal,KOL Area,3
AMILD,horehoofrock,horehoofrock,Activity/engagement,Lokal,KOL Area,3
AMILD,horehoreho,horehoreho,Activity/engagement,Lokal,KOL Nasional,3
AMILD,hypeast,hypeast,Activity/engagement,Lokal,KOL Area,3
AMILD,hypeastproject,hypeastproject,Activity/engagement,Lokal,KOL Area,3
AMILD,iniworthit,iniworthit,Activity/engagement,Lokal,KOL Nasional,3
AMILD,jakarta32,jakarta32,Activity/engagement,Lokal,KOL Nasional,3
AMILD,jayabayabadi,jayabayabadi,Activity/engagement,Lokal,KOL Area,3
AMILD,jemberweloud,jemberweloud,Activity/engagement,Lokal,KOL Area,3
AMILD,jkt_moodsmayday,jkt_moodsmayday,Activity/engagement,Lokal,KOL Area,3
AMILD,kelaspagi,kelaspagi,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kelaspagibergerak,kelaspagibergerak,Activity/engagement,Lokal,KOL Area,3
AMILD,keluargabayk,keluargabayk,Activity/engagement,Lokal,KOL Nasional,3
AMILD,keluartumbuhliar,keluartumbuhliar,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kemenbudur,kemenbudur,Activity/engagement,Lokal,KOL Area,3
AMILD,kementrianbudayaurban,kementrianbudayaurban,Activity/engagement,Lokal,KOL Area,3
AMILD,klubgerah,klubgerah,Activity/engagement,Lokal,KOL Area,3
AMILD,kolektipngawur,kolektipngawur,Activity/engagement,Lokal,KOL Nasional,3
AMILD,komplotanjakarta32c,komplotanjakarta32c,Activity/engagement,Lokal,KOL Area,3
AMILD,kotakpandora,kotakpandora,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kreakantimager,kreakantimager,Activity/engagement,Lokal,KOL Area,3
AMILD,kreakbinjai,kreakbinjai,Activity/engagement,Lokal,KOL Area,3
AMILD,kreakmedan,kreakmedan,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kreasibukajalan,kreasibukajalan,Activity/engagement,Lokal,KOL Nasional,3
AMILD,legacyproject,legacyproject,Activity/engagement,Lokal,KOL Nasional,3
AMILD,loloyogueayo,loloyogueayo,Activity/engagement,Lokal,KOL Nasional,3
AMILD,loncatpagart,loncatpagart,Activity/engagement,Lokal,KOL Area,3
AMILD,loud1015,loud1015,Activity/engagement,Lokal,KOL Area,3
AMILD,louderthanever,louderthanever,Activity/engagement,Lokal,KOL Nasional,3
AMILD,makealegacy,makealegacy,Activity/engagement,Lokal,KOL Area,3
AMILD,makeitmyown,makeitmyown,Activity/engagement,Lokal,KOL Area,3
AMILD,malang90s,malang90s,Activity/engagement,Lokal,KOL Area,3
AMILD,malangweloud,malangweloud,Activity/engagement,Lokal,KOL Nasional,3
AMILD,milisiid,milisiid,Activity/engagement,Lokal,KOL Area,3
AMILD,mojokertoweloud,mojokertoweloud,Activity/engagement,Lokal,KOL Area,3
AMILD,musicfestwishlist,musicfestwishlist,Activity/engagement,Lokal,KOL Area,3
AMILD,musikalogi,musikalogi,Activity/engagement,Lokal,KOL Area,3
AMILD,mystorywitha,mystorywitha,Activity/engagement,Lokal,KOL Area,3
AMILD,navasvara,navasvara,Activity/engagement,Lokal,KOL Area,3
AMILD,ootdbdg,ootdbdg,Activity/engagement,Lokal,KOL Nasional,3
AMILD,outlabtrip,outlabtrip,Activity/engagement,Lokal,KOL Area,3
AMILD,paintyourcity,paintyourcity,Activity/engagement,Lokal,KOL Nasional,3
AMILD,pamekasanweloud,pamekasanweloud,Activity/engagement,Lokal,KOL Nasional,3
AMILD,panggontelenan,panggontelenan,Activity/engagement,Lokal,KOL Area,3
AMILD,passionarte,passionarte,Activity/engagement,Lokal,KOL Area,3
AMILD,pasuruanweloud,pasuruanweloud,Activity/engagement,Lokal,KOL Area,3
AMILD,peluangkudalari,peluangkudalari,Activity/engagement,Lokal,KOL Nasional,3
AMILD,penapakjakarta,penapakjakarta,Activity/engagement,Lokal,KOL Nasional,3
AMILD,probolinggoweloud,probolinggoweloud,Activity/engagement,Lokal,KOL Nasional,3
AMILD,projectvade,projectvade,Activity/engagement,Lokal,KOL Nasional,3
AMILD,proletart,proletart,Activity/engagement,Lokal,KOL Area,3
AMILD,qubediningrat,qubediningrat,Activity/engagement,Lokal,KOL Area,3
AMILD,recordstoredayindonesia,recordstoredayindonesia,Activity/engagement,Lokal,KOL Nasional,3
AMILD,roadtoacreate,roadtoacreate,Activity/engagement,Lokal,KOL Nasional,3
AMILD,roadtoartwardingnight,roadtoartwardingnight,Activity/engagement,Lokal,KOL Nasional,3
AMILD,rockincelebes,rockincelebes,Activity/engagement,Lokal,KOL Nasional,3
AMILD,rockincelebessatelite,rockincelebessatelite,Activity/engagement,Lokal,KOL Nasional,3
AMILD,rsdindo,rsdindo,Activity/engagement,Lokal,KOL Area,3
AMILD,rts2017,rts2017,Activity/engagement,Lokal,KOL Nasional,3
AMILD,rtsbdg,rtsbdg,Activity/engagement,Lokal,KOL Nasional,3
AMILD,ruanggembira,ruanggembira,Activity/engagement,Lokal,KOL Area,3
AMILD,samdays,samdays,Activity/engagement,Lokal,KOL Area,3
AMILD,samdays0541,samdays0541,Activity/engagement,Lokal,KOL Nasional,3
AMILD,samsday,samsday,Activity/engagement,Lokal,KOL Area,3
AMILD,satubahasabogor,satubahasabogor,Activity/engagement,Lokal,KOL Area,3
AMILD,satubahasajakartaselatan,satubahasajakartaselatan,Activity/engagement,Lokal,KOL Nasional,3
AMILD,seagowagow,seagowagow,Activity/engagement,Lokal,KOL Area,3
AMILD,showyourcolors,showyourcolors,Activity/engagement,Lokal,KOL Nasional,3
AMILD,siasat1000,siasat1000,Activity/engagement,Lokal,KOL Area,3
AMILD,siasatpartikelir,siasatpartikelir,Activity/engagement,Lokal,KOL Nasional,3
AMILD,sidoarjoweloud,sidoarjoweloud,Activity/engagement,Lokal,KOL Area,3
AMILD,sketchjamming,sketchjamming,Activity/engagement,Lokal,KOL Area,3
AMILD,sketchjammingsmg,sketchjammingsmg,Activity/engagement,Lokal,KOL Area,3
AMILD,slimrefined,slimrefined,Activity/engagement,Lokal,KOL Area,3
AMILD,sneakersshare,sneakersshare,Activity/engagement,Lokal,KOL Nasional,3
AMILD,spirityouthmovement,spirityouthmovement,Activity/engagement,Lokal,KOL Nasional,3
AMILD,stepupyourstage,stepupyourstage,Activity/engagement,Lokal,KOL Area,3
AMILD,suaradaritasik,suaradaritasik,Activity/engagement,Lokal,KOL Nasional,3
AMILD,submitkaryalo,submitkaryalo,Activity/engagement,Lokal,KOL Nasional,3
AMILD,sudutpayakumbuh,sudutpayakumbuh,Activity/engagement,Lokal,KOL Nasional,3
AMILD,sumbartventure,sumbartventure,Activity/engagement,Lokal,KOL Area,3
AMILD,surabayaweloud,surabayaweloud,Activity/engagement,Lokal,KOL Nasional,3
AMILD,taphappening,taphappening,Activity/engagement,Lokal,KOL Area,3
AMILD,tapsmg,tapsmg,Activity/engagement,Lokal,KOL Area,3
AMILD,teamandalangue,teamandalangue,Activity/engagement,Lokal,KOL Area,3
AMILD,thursdaynoise,thursdaynoise,Activity/engagement,Lokal,KOL Nasional,3
AMILD,timurbersuara,timurbersuara,Activity/engagement,Lokal,KOL Nasional,3
AMILD,unitedweloud,unitedweloud,Activity/engagement,Nasional,KOL Area,3
AMILD,unitedweloudmakassar,unitedweloudmakassar,Activity/engagement,Nasional,KOL Area,3
AMILD,unitedweloudOTR,unitedweloudOTR,Activity/engagement,Nasional,KOL Area,3
AMILD,wag6,wag6,Activity/engagement,Lokal,KOL Nasional,3
AMILD,waniwaniclub,waniwaniclub,Activity/engagement,Lokal,KOL Area,3
AMILD,wavemovement,wavemovement,Activity/engagement,Lokal,KOL Area,3
AMILD,wongkitoproject,wongkitoproject,Activity/engagement,Lokal,KOL Area,3
AMILD,writesomething2017,writesomething2017,Activity/engagement,Lokal,KOL Area,3
AMILD,yangmudayangjuara,yangmudayangjuara,Activity/engagement,Lokal,KOL Area,3
MARLBORO,kataliskota,kataliskota,Activity/engagement,Lokal,KOL Area,3
MARLBORO,mbrace,mbrace,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,decidecorner,decidecorner,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,medanberkawan,medanberkawan,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,360vertical,360vertical,Activity/engagement,Lokal,KOL Area,3
MARLBORO,slicecult,slicecult,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,litmus,litmus,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,socialhost,socialhost,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,eatsribe,eatsribe,Activity/engagement,Lokal,KOL Area,3
MARLBORO,guedecidesurabaya,guedecidesurabaya,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,pinnaclehoz,pinnaclehoz,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,mahakamproject,mahakamproject,Activity/engagement,Lokal,KOL Area,3
MARLBORO,semalamsaja,semalamsaja,Activity/engagement,Lokal,KOL Area,3
MARLBORO,ineedmoredisco,ineedmoredisco,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,leftylooseyjkt,leftylooseyjkt,Activity/engagement,Lokal,KOL Area,3
MARLBORO,allgoneloose,allgoneloose,Activity/engagement,Lokal,KOL Area,3
MARLBORO,spektrum_22,spektrum_22,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,spektrum22,spektrum22,Activity/engagement,Lokal,KOL Area,3
MARLBORO,revival.14.15,revival.14.15,Activity/engagement,Lokal,KOL Area,3
MARLBORO,revival_jog,revival_jog,Activity/engagement,Lokal,KOL Area,3
MARLBORO,AdexYou,AdexYou,Activity/engagement,Lokal,KOL Area,3
MARLBORO,DDFF11,DDFF11,Activity/engagement,Lokal,KOL Area,3
MARLBORO,DDFF13,DDFF13,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,DDFF14,DDFF14,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,dewataproject,dewataproject,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,disctrick,disctrick,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,districtco,districtco,Activity/engagement,Lokal,KOL Area,3
MARLBORO,forthescene,forthescene,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,freedomtrc,freedomtrc,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,heroesofdecree,heroesofdecree,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,huma_sr,huma_sr,Activity/engagement,Lokal,KOL Area,3
MARLBORO,jakartamovers,jakartamovers,Activity/engagement,Lokal,KOL Area,3
MARLBORO,kinestetik_,kinestetik_,Activity/engagement,Lokal,KOL Area,3
MARLBORO,limagine80,limagine80,Activity/engagement,Lokal,KOL Area,3
MARLBORO,marbleproject,marbleproject,Activity/engagement,Lokal,KOL Area,3
MARLBORO,mbience,mbience,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,mobomedan,mobomedan,Activity/engagement,Lokal,KOL Area,3
MARLBORO,move,move,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,move.co.id,move.co.id,Activity/engagement,Lokal,KOL Area,3
MARLBORO,moveid,moveid,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,movers,movers,Activity/engagement,Lokal,KOL Area,3
MARLBORO,movesamarinda,movesamarinda,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,movexjumatblarrr,movexjumatblarrr,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,mynewflow,mynewflow,Activity/engagement,Lokal,KOL Area,3
MARLBORO,neversaymaybe,neversaymaybe,Activity/engagement,Lokal,KOL Area,3
MARLBORO,projectkontent,projectkontent,Activity/engagement,Lokal,KOL Area,3
MARLBORO,racingjourney,racingjourney,Activity/engagement,Lokal,KOL Area,3
MARLBORO,RidewithAdeHabibie,RidewithAdeHabibie,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,RidexYou,RidexYou,Activity/engagement,Lokal,KOL Area,3
MARLBORO,RockwithKPR,RockwithKPR,Activity/engagement,Lokal,KOL Area,3
MARLBORO,RockxRideTour2017,RockxRideTour2017,Activity/engagement,Lokal,KOL Area,3
MARLBORO,sansrideoi,sansrideoi,Activity/engagement,Lokal,KOL Area,3
MARLBORO,sublimemovers,sublimemovers,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,theracingjourney,theracingjourney,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,therockcampus,therockcampus,Activity/engagement,Lokal,KOL Area,3
MARLBORO,tiltproject,tiltproject,Activity/engagement,Lokal,KOL Area,3
MARLBORO,unlockpossibilities,unlockpossibilities,Activity/engagement,Lokal,KOL Nasional,3
UMILD,parjo_id,parjo_id,Activity/engagement,Lokal,KOL Area,3
UMILD,kawanparjo,kawanparjo,Activity/engagement,Lokal,KOL Area,3
MAGNUM,bandungsonicfair,bandungsonicfair,Activity/engagement,Lokal,KOL Area,3
MAGNUM,Hammersonic,Hammersonic,Activity/engagement,Lokal,KOL Nasional,3
MAGNUM,magnitud,magnitud,Activity/engagement,Lokal,KOL Nasional,3
MAGNUM,magnitudhamersonic,magnitudhamersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitudhammersonic,magnitudhammersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitude,magnitude,Activity/engagement,Lokal,KOL Nasional,3
MAGNUM,magnitudehamersonic,magnitudehamersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitudehammersonic,magnitudehammersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitudehamersonic,magnitudehamersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitudehammersonic,magnitudehammersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitudesonicfair,magnitudesonicfair,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitudhamersonic,magnitudhamersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitudhammersonic,magnitudhammersonic,Activity/engagement,Lokal,KOL Area,3
MAGNUM,magnitut,magnitut,Activity/engagement,Lokal,KOL Area,3
MAGNUM,Racikan15,Racikan15,Activity/engagement,Lokal,KOL Area,3
MAGNUM,Racikan15,Racikan15,Activity/engagement,Lokal,KOL Nasional,3
umild,kalausukagaktakutbayar,kalausukagaktakutbayar,Brand Message,Undefined,Undefined,1
marlboro,guedecide,guedecide,Brand Message,Undefined,Undefined,1
AMILD,alwayscollected,alwayscollected,Brand Message,Undefined,Undefined,1
AMILD,changetheordinary,changetheordinary,Brand Message,Undefined,Undefined,1
AMILD,createyourself,createyourself,Brand Message,Undefined,Undefined,1
AMILD,expressyourself,expressyourself,Brand Message,Undefined,Undefined,1
AMILD,iklanmild,iklanmild,Brand Message,Undefined,Undefined,1
AMILD,iklansampoerna,iklansampoerna,Brand Message,Undefined,Undefined,1
MARLBORO,youdecide,youdecide,Brand Message,Undefined,Undefined,1
MARLBORO,guedecide,guedecide,Brand Message,Undefined,Undefined,1
MARLBORO,newflow,newflow,Brand Message,Undefined,Undefined,1
UMILD,respeknomorsatu,respeknomorsatu,Brand Message,Undefined,Undefined,1
UMILD,dapetlebih,dapetlebih,Brand Message,Undefined,Undefined,1
UMILD,dapetlebih,dapetlebih,Brand Message,Undefined,Undefined,1
UMILD,bersaudarasoalrasa,bersaudarasoalrasa,Brand Message,Undefined,Undefined,1
UMILD,saudaraitusoalrasa,saudaraitusoalrasa,Brand Message,Undefined,Undefined,1
umild,u-mild,u-mild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amild,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amildmentholburst,amildmentholburst,Product/Brand Mention,Undefined,Undefined,3
AMILD,platinum,platinum,Product/Brand Mention,Undefined,Undefined,3
AMILD,rokok,rokok,Product/Brand Mention,Undefined,Undefined,3
